,,,,,,,,,,
PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,,,,,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,,,,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,,,,,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,,,,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN,,,,,,
3.8.3,"Sistem hendaklah membolehkan pegawai melakukan manual override bagi kes khas (contoh: kegagalan integrasi perbankan, transaksi berisiko rendah tetapi sistem menolak), dengan syarat kawalan keselamatan dual approval (kelulusan berganda).",Mandatori,,,,,,,,
3.8.4,"Petender perlu menyediakan laporan exception report automatik yang menyenaraikan semua transaksi gagal, termasuk sebab kegagalan, tindakan pemulihan, status semasa, dan pegawai bertanggungjawab, untuk rujukan pengurusan dan audit.",Mandatori,,,,,,,,
3.8.5,"Sistem mestilah menyokong fungsi tracking & escalation, di mana isu transaksi gagal yang tidak diselesaikan dalam tempoh tertentu akan dihantar ke peringkat penyelia.",Mandatori,,,,,,,,
3.8.6,Petender bertanggungjawab memastikan semua rekod kegagalan transaksi disimpan dalam audit trail dan boleh dieksport ke format PDF/Excel untuk tujuan laporan rasmi kepada pihak dalaman atau pengawal selia.,Mandatori,,,,,,,,
3.9,Standard Perakaunan,,,,,,,,,
3.9.1,Format ECL (Calculation Boleh Diubah Oleh Admin Jabatan).,Mandatori,,,,,,,,
3.9.2,Standard Piawaian Perakaunan seperti MFRS 7 dan MFRS 101.,Mandatori,,,,,,,,
3.9.3,Pengiraan rules 78 (atau rules lain berdasarkan penetapan yang akan ditetapkan).,Mandatori,,,,,,,,
3.1,Komponen Kecerdasan Automasi (AI) – Fraud Detection,,,,,,,,,
3.10.1,"Petender hendaklah membangunkan fungsi pengesahan akaun automatik berasaskan AI untuk menyemak kesahihan akaun penerima sebelum transaksi, termasuk pengesahan nama, nombor akaun dan status aktif di bank penerima.",Mandatori,,,,,,,,
3.10.2,"Petender perlu menyediakan modul pengesanan anomali berasaskan AI & Machine Learning yang boleh mengenal pasti corak transaksi mencurigakan atau luar biasa (contoh: transaksi berulang dengan jumlah tidak normal, transaksi pada waktu ganjil, atau dari lokasi mencurigakan).",Mandatori,,,,,,,,
3.10.3,"Petender dikehendaki membangunkan fungsi penjadualan pengeluaran pintar (Smart Disbursement Scheduling) yang boleh dipacu oleh milestone projek, rekod prestasi pemohon atau syarat syariah/operasi tertentu, secara automatik tanpa campur tangan manual.",,,,,,,,,
3.10.4,"Petender bertanggungjawab memastikan pemadanan data silang (cross-validation) antara permohonan, kelulusan, akaun bank, dan rekod pembiayaan dilakukan secara automatik sebelum pengeluaran, bagi mengelakkan sebarang ralat atau penyelewengan.",Mandatori,,,,,,,,
3.10.5,"Sistem mestilah menyokong fungsi Explainable AI (XAI) bagi memberi penjelasan kepada pegawai tentang sebab sesuatu transaksi ditandakan sebagai mencurigakan atau ditolak, untuk meningkatkan ketelusan keputusan AI.",,,,,,,,,
3.10.6,"Petender hendaklah memastikan sistem menyediakan notifikasi automatik & dashboard fraud alert kepada pegawai TEKUN sekiranya dikesan aktiviti mencurigakan, beserta tahap risiko (rendah, sederhana, tinggi).",Mandatori,,,,,,,,
3.10.7,"Semua maklumat fraud hendaklah direkodkan dalam audit trail (tarikh, masa, ID pegawai, jenis amaran, tindakan diambil) dan disimpan sekurang-kurangnya 7 tahun untuk tujuan audit & pematuhan.",Mandatori,,,,,,,,
3.11,Integrasi Ke Modul 3,,,,,,,,,
3.11.1,"Semua proses yang telah lengkap, disahkan, dan diluluskan hendaklah dihantar secara automatik ke semua modul yang berkaitan untuk diproses seterusnya tanpa memerlukan input manual bagi memastikan kesinambungan aliran kerja yang lancar dan mengurangkan risiko kesilapan manusia.",Mandatori,,,,,,,,
TAMAT MODUL PENGELUARAN DANA (DISBURSEMENT),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
