,,,,,,
PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN,,
4.7.8,"Sistem mestilah memastikan bahawa peminjam menerima notifikasi automatik (SMS/Email/Portal) mengenai status permohonan, keputusan kelulusan dan jadual pembayaran baharu yang telah disahkan dan semua baki, bayaran dan status dikira berdasarkan struktur baru.",Mandatori,,,,
4.7.9,"Petender dikehendaki membangunkan mekanisme penyimpanan rekod versi jadual lama & baharu, termasuk tarikh perubahan, pegawai yang meluluskan, justifikasi perubahan, dan semua dokumen sokongan. Rekod ini mestilah disimpan dengan audit trail lengkap bagi tujuan kawalan dalaman, audit luaran dan keperluan litigasi.",Mandatori,,,,
4.7.10,"Petender hendaklah menyokong fungsi penandaan/tagging Shariah Non-Compliance (SNC) ke atas akaun yang terlibat dengan penstrukturan semula, agar kutipan daripada akaun tersebut disalurkan ke akaun khas SNC mengikut keputusan dan arahan Jawatankuasa Syariah TEKUN (JKS).",Mandatori,,,,
4.7.11,"Akaun Pembiayaan Patuh Syariah atau Tidak Patuh Syariah Yang Dibenarkan yang telah disemak oleh Jabatan Syariah (JSY) atau diaudit oleh Jabatan Audit Dalam (JAD) serta diputuskan oleh JKS sebagai SNC akan ditandakan sewajarnya dan selepas proses penandaan tersebut, semua amaun kutipan yang diterima mulai tarikh berkenaan hendaklah disalurkan terus ke akaun SNC.",Mandatori,,,,
4.7.12,"Sistem mestilah dilengkapi dengan notifikasi awal untuk mengenal pasti akaun-akaun yang berpotensi tinggi memerlukan penstrukturan semula (contoh: kelewatan pembayaran berulang, tunggakan berturut-turut) dan memberikan cadangan proaktif kepada pegawai bagi tindakan awal.",Mandatori,,,,
4.8,Maklumat Sijil BSAS,,,,,
4.8.1,Meletakkan maklumat no sijil BSAS dalam setiap akaun usahawan. Ini bagi memudahkan proses semakan syariah / audit syariah memandangkan transaksi BSAS dilakukan secara grouping/by batch dan sukar untuk pegawai cari sijil bagi setiap usahawan dan mengelakkan transaksi dilakukan berulang.,Mandatori,,,,
4.9,Moratorium Bayaran Pembiayaan & Bencana,,,,,
4.9.1,"Sistem mestilah menyokong pelaksanaan moratorium bayaran balik pembiayaan sama ada secara automatik atau offline dalam situasi luar jangka seperti bencana alam, sakit kronik, bersalin, pandemik, force majeure atau arahan khas pihak berkuasa. Fungsi ini hendaklah dibangunkan dengan fleksibiliti untuk dilaksanakan secara menyeluruh (mass update) atau individu (case-by-case).
Nota: Jenis-jenis moratorium akan ditentukan dan dikawal oleh pihak pentadbir (admin) jabatan.
",Mandatori,,,,
4.9.2,"Petender hendaklah membangunkan modul kawalan yang membolehkan pegawai berautoriti menetapkan tempoh moratorium secara fleksibel (contoh: 3 bulan, 6 bulan, 12 bulan) mengikut dasar kerajaan, keputusan pengurusan TEKUN, atau arahan khas Jawatankuasa.
Nota:Penetapan tempoh dan kriteria moratorium akan dikonfigurasikan oleh pihak pentadbir (admin) jabatan.",Mandatori,,,,
4.9.3,"Sistem mestilah menjana semula jadual ansuran baharu secara automatik selepas moratorium tamat, dengan pengiraan semula baki bayaran balik pembiayaan iaitu owing, caj, pokok, simpanan yang telus tanpa caj tersembunyi.",Mandatori,,,,
4.9.4,"Semua penerima moratorium hendaklah direkodkan dalam laporan khas yang boleh di filter mengikut tarikh, cawangan, negeri, jenis produk pembiayaan, dan kategori pemohon. Laporan ini mestilah boleh dieksport dalam format Excel/PDF untuk tujuan audit dan pelaporan kepada pihak berkepentingan (contoh: BNM, Kementerian).",Mandatori,,,,
4.9.5,"Sistem mestilah menghantar notifikasi automatik kepada pemohon melalui SMS, Email, dan Portal Usahawan pada setiap peringkat pelaksanaan moratorium (iaitu: pengesahan moratorium, semasa tempoh moratorium berjalan dan selepas tamat moratorium).",Mandatori,,,,
4.9.6,"Semua data berkaitan moratorium (termasuk tarikh kelulusan, pegawai yang meluluskan, jumlah akaun terlibat, dan jadual baharu) mestilah direkodkan dalam audit trail lengkap bagi memastikan pematuhan kepada piawaian keselamatan maklumat (ISO 27001), keperluan pengawalseliaan BNM dan audit dalaman TEKUN.",Mandatori,,,,
4.1,Priority of Payment,,,,,
4.10.1,"Keutamaan Pembayaran (Priority of Payment) adalah seperti berikut: bayaran owing hendaklah diselesaikan terlebih dahulu, diikuti oleh kadar keuntungan termasuk tunggakan, seterusnya bayaran pokok beserta tunggakan, dan akhir sekali bayaran simpanan (saving) bersama sebarang tunggakan berkaitan.",,,,,
4.11,Owing & Rekod Tunggakan,,,,,
4.11.1,"Sistem mestilah mempunyai keupayaan untuk merekod secara komprehensif semua baki tunggakan (owing) termasuk ansuran yang lewat dibayar, penalti, caj tambahan, kos pentadbiran, dan bayaran belum diselesaikan oleh peminjam. Rekod ini hendaklah dikemaskini secara masa nyata (real-time).
Nota:Penetapan oleh admin jabatan.",Mandatori,,,,
